gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
ST3GAL5	0.893913427376733	3.38647750575567	8.31394910894771	4.75107585552811e-11	6.47619149867036e-07	14.9114699796857	FALSE
ARF5	1.32875591015068	3.67403037114476	8.06966918747484	1.14035282077545e-10	7.7720746499951e-07	14.0864319214419	TRUE
PTPRC	2.96121924433573	4.50282098707388	7.87153601963614	2.32666994719559e-10	1.05716126834077e-06	13.4136972286024	TRUE
UNC93B1	0.912738066079914	3.17923913145533	7.51384652723137	8.47651160312425e-10	2.88858324155467e-06	12.1924576619113	FALSE
ESM1	-1.89733854216932	4.33567651503032	-7.36551932280698	1.45132413413657e-09	3.9565998544831e-06	11.6839685403182	TRUE
DUS2	0.647243217241559	4.35742205084582	7.25215485773025	2.19012794586833e-09	4.55203854729141e-06	11.2947067041588	FALSE
IGLJ2	4.08508717106582	6.25423780684304	7.19744289447411	2.67158010258464e-09	4.55203854729141e-06	11.106677271604	TRUE
BMS1P20	4.08508717106582	6.25423780684304	7.19744289447411	2.67158010258464e-09	4.55203854729141e-06	11.106677271604	TRUE
CAB39L	0.735397769676919	3.15064636516051	7.16069040531677	3.05319756415563e-09	4.6242373330006e-06	10.9803172966284	FALSE
MYH7B	0.147137496489255	2.53307091997255	7.07576232703426	4.15711488084456e-09	5.66656329407922e-06	10.688184115828	FALSE
CFAP46	-0.200809868604572	2.48776314046951	-6.93871829953235	6.84169159972915e-09	8.22999318423237e-06	10.216469206043	FALSE
MYOZ1	-2.38652892660197	4.46529324654775	-6.92295631672648	7.24524379801838e-09	8.22999318423237e-06	10.1621975482979	TRUE
EFNB1	-0.546376283641386	3.0673490007038	-6.8748530978538	8.6300591486043e-09	9.04894894266347e-06	9.99655366919335	FALSE
PCOLCE2	-4.46828227410722	9.27649475833705	-6.78050086651225	1.21619643887688e-08	1.18414097559505e-05	9.67161373312352	TRUE
MYL11	-0.29546300077007	2.56022135447478	-6.75982952096837	1.31112111932991e-08	1.1914594651724e-05	9.6004222421574	FALSE
MDFI	-0.300625324113303	2.93652680934528	-6.72941441508163	1.46441402067058e-08	1.24758921973504e-05	9.49567571605983	FALSE
NKX2-1	-0.41840862336661	3.1065469219283	-6.68451599587356	1.72402589897801e-08	1.38005427678284e-05	9.34105939799809	FALSE
DRD1	-0.13729609515246	2.73152643232688	-6.66925009392395	1.8223884514776e-08	1.38005427678284e-05	9.28849202313926	FALSE
MAPK13	1.31869715477599	4.32780827129634	6.6531887580611	1.93193283163855e-08	1.38600928568764e-05	9.23318817598157	TRUE
CHAD	-0.222166618770959	2.7019281179338	-6.60964412585552	2.26314647152922e-08	1.53069771741175e-05	9.08326737890137	FALSE
JPT1	1.64843171647715	4.99306698574495	6.59187255689359	2.41409600726472e-08	1.53069771741175e-05	9.02208919573976	TRUE
MYO1F	1.32016987757781	4.01047376980291	6.5619735455384	2.69107382958368e-08	1.53069771741175e-05	8.91917490424022	TRUE
CFB	1.4262887839004	5.70914813152368	6.55330943332696	2.77711019787867e-08	1.53069771741175e-05	8.88935564556432	TRUE
CAPN1	0.847431744841193	3.57630415188079	6.550467379656	2.80592613425232e-08	1.53069771741175e-05	8.87957448470098	FALSE
PHLDB1	0.266315720501435	2.80443219678425	6.55032442898893	2.80738338605339e-08	1.53069771741175e-05	8.87908251263212	FALSE
ASGR1	-0.241383575463106	2.54814794706606	-6.53608401632564	2.95640226323581e-08	1.54995074039105e-05	8.83007555543185	FALSE
MELTF	-0.0848921396890927	2.53291955333776	-6.51562397748563	3.1844297415564e-08	1.59444755821001e-05	8.7596722183809	FALSE
PTPRO	-2.14254389216237	11.2125482134906	-6.50788195279722	3.27522057294992e-08	1.59444755821001e-05	8.73303433331158	TRUE
FBXO16	-0.802867663874431	6.19081658910091	-6.48946109922101	3.50176134921641e-08	1.64594858452307e-05	8.66965991294988	FALSE
EDC3	0.73364737365098	4.21292959871465	6.46747365079258	3.79271797162814e-08	1.68985602791793e-05	8.59402678088973	FALSE
NDNF	-4.6199292251397	9.07689767132259	-6.46383671263585	3.84311766308091e-08	1.68985602791793e-05	8.58151761119347	TRUE
TGM3	-0.117174205796657	2.53094192697421	-6.44803812501878	4.06991947302123e-08	1.72853570000977e-05	8.52718315020877	FALSE
PDE6B	0.64775258593198	3.78585353767697	6.44037421199913	4.18470237695858e-08	1.72853570000977e-05	8.50082811514342	FALSE
